Serial|Price|Sold.Date|Size|Address
141|1.25M|9/16/14|3 bd, 2 ba, 1,520 sqft|21 Hilltop Dr, San Carlos, CA
142|1.69M|9/15/14|-- bd, -- ba, -- sqft|107 Mirabel Pl San Carlos Ca # 94070, San Carlos, CA
143|1.38M|9/15/14|3 bd, 2 ba, 1,543 sqft|2043 Saint Francis Way, San Carlos, CA
144|655,000|9/12/14|2 bd, 2 ba, 1,320 sqft|602 Cedar St APT 2, San Carlos, CA
145|417,500|9/11/14|2 bd, 2 ba, 1,094 sqft|1001 Laurel St UNIT 205, San Carlos, CA
146|851,000|9/11/14|3 bd, 2 ba, 1,239 sqft|3290 La Mesa Dr # 1, San Carlos, CA
147|1.3M|9/10/14|3 bd, 2 ba, 1,520 sqft|2007 Eucalyptus Ave, San Carlos, CA
148|598,000|9/5/14|1 bd, 1 ba, 741 sqft|3311 La Mesa Dr APT 11, San Carlos, CA
149|1.43M|9/5/14|3 bd, 2 ba, 1,310 sqft|928 Elm St, San Carlos, CA
150|1.33M|9/5/14|4 bd, 3 ba, 2,200 sqft|7 Plymouth Ave, San Carlos, CA
151|605,000|9/5/14|2 bd, 2 ba, 1,040 sqft|3372 La Mesa Dr APT 2, San Carlos, CA
152|1.38M|9/5/14|3 bd, 2 ba, 1,770 sqft|2258 Howard Ave, San Carlos, CA
153|1M|9/4/14|3 bd, 2 ba, 1,500 sqft|333 Oakview Dr, San Carlos, CA
154|807,000|9/4/14|2 bd, 1 ba, 1,230 sqft|44 Devonshire Blvd, San Carlos, CA
155|915,000|9/2/14|2 bd, 2.5 ba, 1,793 sqft|13 Chicory Ln, San Carlos, CA
156|627,000|9/2/14|2 bd, 2 ba, 970 sqft|772 Walnut St APT 8, San Carlos, CA
157|1.71M|9/1/14|4 bd, 3 ba, 2,500 sqft|1512 Howard Ave, San Carlos, CA
158|1.1M|8/29/14|2 bd, 1 ba, 1,350 sqft|113 Colton Ave, San Carlos, CA
159|1.95M|8/29/14|3 bd, 3 ba, 2,664 sqft|135 Lynton Ave, San Carlos, CA
160|1.99M|8/28/14|4 bd, 3.5 ba, 2,380 sqft|2049 Brittan Ave, San Carlos, CA
161|1.88M|8/28/14|3 bd, 3 ba, 2,390 sqft|41 Elston Ct, San Carlos, CA
162|1.4M|8/28/14|3 bd, 2.5 ba, 2,880 sqft|1126 Royal Ln, San Carlos, CA
163|1.38M|8/27/14|2 bd, 2 ba, 1,590 sqft|578 Cedar St, San Carlos, CA
164|1M|8/27/14|3 bd, 2.5 ba, 2,310 sqft|5 Iris Ln, San Carlos, CA
165|1.53M|8/27/14|3 bd, 2.5 ba, 1,780 sqft|43 Sequoia Ct, San Carlos, CA
166|870,000|8/26/14|2 bd, 2 ba, 1,096 sqft|633 Elm St APT 304, San Carlos, CA
167|1.42M|8/25/14|3 bd, 2 ba, 1,830 sqft|260 Fairmont Ave, San Carlos, CA
168|3.54M|8/22/14|7 bd, 5 ba, 4,994 sqft|257 Elm St, San Carlos, CA
169|3.54M|8/22/14|9 bd, 9 ba, 9,988 sqft|191 Elm St, San Carlos, CA
170|1.15M|8/22/14|2 bd, 1 ba, 1,060 sqft|1349 Rosewood Ave, San Carlos, CA
